%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
7D54 ; [.4E6F.0000.0007.7D54] % Ω]
64FA ; [.4E70.0000.0007.64FA] % î[
77F2 ; [.4E71.0000.0007.77F2] % ≥F
896C ; [.4E72.0000.0007.896C] % “o
5E8D ; [.4E73.0000.0007.5E8D] % éﬂ
62DC ; [.4E74.0000.0007.62DC] % ∞›
5504 ; [.4E75.0000.0007.5504] % Üh
6557 ; [.4E76.0000.0007.6557] % î°
6911 ; [.4E77.0000.0007.6911] % ó¿
7A17 ; [.4E78.0000.0007.7A17] % ∞ﬁ
7CBA ; [.4E79.0000.0007.7CBA] % ªü
4F13 ; [.4E7A.0000.0007.4F13] % Å∂
5351 ; [.4E7B.0000.0007.5351] % ±∞
676F ; [.4E7C.0000.0007.676F] % ±≠
76C3 ; [.4E7D.0000.0007.76C3] % ∞†
4FFE ; [.4E7E.0000.0007.4FFE] % Ÿ¬
505D ; [.4E7F.0000.0007.505D] % Ç≥
686E ; [.4E80.0000.0007.686E] % óG
8406 ; [.4E81.0000.0007.8406] % ›…
60B2 ; [.4E82.0000.0007.60B2] % ±Ø
63F9 ; [.4E83.0000.0007.63F9] % ìd
7891 ; [.4E84.0000.0007.7891] % ±Æ
88E8 ; [.4E85.0000.0007.88E8] % Ò‘
7DBC ; [.4E86.0000.0007.7DBC] % æa
85E3 ; [.4E87.0000.0007.85E3] % Àç
9D6F ; [.4E88.0000.0007.9D6F] % ˘l
5317 ; [.4E89.0000.0007.5317] % ±±
5B5B ; [.4E8A.0000.0007.5B5B] % ÿ√
8C9D ; [.4E8B.0000.0007.8C9D] % ÿê
90B6 ; [.4E8C.0000.0007.90B6] % ⁄˝
726C ; [.4E8D.0000.0007.726C] % †¥
80CC ; [.4E8E.0000.0007.80CC] % ±≥
90E5 ; [.4E8F.0000.0007.90E5] % ‡T
500D ; [.4E90.0000.0007.500D] % ±∂
54F1 ; [.4E91.0000.0007.54F1] % Ü\
6096 ; [.4E92.0000.0007.6096] % „£
72FD ; [.4E93.0000.0007.72FD] % ™N
