%
% Copyright (c) 1997-2009 Nokia Corporation and/or its subsidiary(-ies).
% All rights reserved.
% This component and the accompanying materials are made available
% under the terms of "Eclipse Public License v1.0"
% which accompanies this distribution, and is available
% at the URL "http://www.eclipse.org/legal/epl-v10.html".
%
% Initial Contributors:
% Nokia Corporation - initial contribution.
%
% Contributors:
%
% Description: 
4ECD ; [.4E69.0000.0007.4ECD] % »‘
5141 ; [.4E6A.0000.0007.5141] % ‘ 
5143 ; [.4E6B.0000.0007.5143] % ‘™
5167 ; [.4E6C.0000.0007.5167] % É»
516C ; [.4E6D.0000.0007.516C] % π´
516D ; [.4E6E.0000.0007.516D] % ¡˘
516E ; [.4E6F.0000.0007.516E] % Ÿ‚
5187 ; [.4E70.0000.0007.5187] % É”
5197 ; [.4E71.0000.0007.5197] % »ﬂ
5198 ; [.4E72.0000.0007.5198] % É‹
51F6 ; [.4E73.0000.0007.51F6] % –◊
5206 ; [.4E74.0000.0007.5206] % ∑÷
5207 ; [.4E75.0000.0007.5207] % «–
5208 ; [.4E76.0000.0007.5208] % ÿ◊
52FB ; [.4E77.0000.0007.52FB] % ÑÚ
52FC ; [.4E78.0000.0007.52FC] % ÑÛ
52FE ; [.4E79.0000.0007.52FE] % π¥
52FF ; [.4E7A.0000.0007.52FF] % Œ
5316 ; [.4E7B.0000.0007.5316] % ªØ
5339 ; [.4E7C.0000.0007.5339] % ∆•
5345 ; [.4E7D.0000.0007.5345] % ÿ¶
5347 ; [.4E7E.0000.0007.5347] % …˝
5348 ; [.4E7F.0000.0007.5348] % ŒÁ
534D ; [.4E80.0000.0007.534D] % Öd
535E ; [.4E81.0000.0007.535E] % ±Â
536C ; [.4E82.0000.0007.536C] % Ön
5384 ; [.4E83.0000.0007.5384] % ∂Ú
53B9 ; [.4E84.0000.0007.53B9] % Öú
53CA ; [.4E85.0000.0007.53CA] % º∞
53CB ; [.4E86.0000.0007.53CB] % ”—
53CD ; [.4E87.0000.0007.53CD] % ∑¥
5720 ; [.4E88.0000.0007.5720] % àL
58EC ; [.4E89.0000.0007.58EC] % »…
5929 ; [.4E8A.0000.0007.5929] % ÃÏ
592A ; [.4E8B.0000.0007.592A] % Ã´
592B ; [.4E8C.0000.0007.592B] % ∑Ú
592C ; [.4E8D.0000.0007.592C] % â¯
592D ; [.4E8E.0000.0007.592D] % ÿ≤
5B54 ; [.4E8F.0000.0007.5B54] % ø◊
5C10 ; [.4E90.0000.0007.5C10] % å®
5C11 ; [.4E91.0000.0007.5C11] % …Ÿ
5C24 ; [.4E92.0000.0007.5C24] % ”»
5C39 ; [.4E93.0000.0007.5C39] % “¸
5C3A ; [.4E94.0000.0007.5C3A] % ≥ﬂ
5C6F ; [.4E95.0000.0007.5C6F] % ÕÕ
5DF4 ; [.4E96.0000.0007.5DF4] % ∞Õ
5DFF ; [.4E97.0000.0007.5DFF] % éà
5E7B ; [.4E98.0000.0007.5E7B] % ª√
5EFF ; [.4E99.0000.0007.5EFF] % ÿ•
5F14 ; [.4E9A.0000.0007.5F14] % èt
5F15 ; [.4E9B.0000.0007.5F15] % “˝
5FC3 ; [.4E9C.0000.0007.5FC3] % –ƒ
6208 ; [.4E9D.0000.0007.6208] % ∏Í
6236 ; [.4E9E.0000.0007.6236] % ëÙ
624B ; [.4E9F.0000.0007.624B] %  ÷
624E ; [.4EA0.0000.0007.624E] % ‘˙
652F ; [.4EA1.0000.0007.652F] % ÷ß
6587 ; [.4EA2.0000.0007.6587] % Œƒ
6597 ; [.4EA3.0000.0007.6597] % ∂∑
65A4 ; [.4EA4.0000.0007.65A4] % ΩÔ
65B9 ; [.4EA5.0000.0007.65B9] % ∑Ω
65E1 ; [.4EA6.0000.0007.65E1] % î˙
65E5 ; [.4EA7.0000.0007.65E5] % »’
66F0 ; [.4EA8.0000.0007.66F0] % ‘ª
6708 ; [.4EA9.0000.0007.6708] % ‘¬
6728 ; [.4EAA.0000.0007.6728] % ƒæ
6B20 ; [.4EAB.0000.0007.6B20] % «∑
6B62 ; [.4EAC.0000.0007.6B62] % ÷π
6B79 ; [.4EAD.0000.0007.6B79] % ¥ı
6BB3 ; [.4EAE.0000.0007.6BB3] % ÏØ
6BCB ; [.4EAF.0000.0007.6BCB] % Œ„
6BCC ; [.4EB0.0000.0007.6BCC] % öØ
6BD4 ; [.4EB1.0000.0007.6BD4] % ±»
6BDB ; [.4EB2.0000.0007.6BDB] % √´
6C0F ; [.4EB3.0000.0007.6C0F] %  œ
6C14 ; [.4EB4.0000.0007.6C14] % ∆¯
6C34 ; [.4EB5.0000.0007.6C34] % ÀÆ
706B ; [.4EB6.0000.0007.706B] % ª
722A ; [.4EB7.0000.0007.722A] % ◊¶
7236 ; [.4EB8.0000.0007.7236] % ∏∏
723B ; [.4EB9.0000.0007.723B] % ÿ≥
723F ; [.4EBA.0000.0007.723F] % „›
7247 ; [.4EBB.0000.0007.7247] % ∆¨
7259 ; [.4EBC.0000.0007.7259] % —¿
725B ; [.4EBD.0000.0007.725B] % ≈£
72AC ; [.4EBE.0000.0007.72AC] % »Æ
738B ; [.4EBF.0000.0007.738B] % Õı
74E6 ; [.4EC0.0000.0007.74E6] % Õﬂ
79B8 ; [.4EC1.0000.0007.79B8] % ∂b
961E ; [.4EC2.0000.0007.961E] % Íb
4E14 ; [.4EC3.0000.0007.4E14] % «“
4E15 ; [.4EC4.0000.0007.4E15] % ÿß
4E16 ; [.4EC5.0000.0007.4E16] %  ¿
4E18 ; [.4EC6.0000.0007.4E18] % «
4E19 ; [.4EC7.0000.0007.4E19] % ±˚
4E31 ; [.4EC8.0000.0007.4E31] % ÅO
4E3B ; [.4EC9.0000.0007.4E3B] % ÷˜
4E3C ; [.4ECA.0000.0007.4E3C] % ÅS
4E4D ; [.4ECB.0000.0007.4E4D] % ’ß
4E4E ; [.4ECC.0000.0007.4E4E] % ∫ı
4E4F ; [.4ECD.0000.0007.4E4F] % ∑¶
4ED4 ; [.4ECE.0000.0007.4ED4] % ◊–
4ED5 ; [.4ECF.0000.0007.4ED5] %  À
4ED6 ; [.4ED0.0000.0007.4ED6] % À˚
4ED7 ; [.4ED1.0000.0007.4ED7] % ’Ã
4ED8 ; [.4ED2.0000.0007.4ED8] % ∏∂
4ED9 ; [.4ED3.0000.0007.4ED9] % œ…
4EDA ; [.4ED4.0000.0007.4EDA] % Åô
4EDC ; [.4ED5.0000.0007.4EDC] % Åõ
4EDD ; [.4ED6.0000.0007.4EDD] % Ÿ⁄
4EDE ; [.4ED7.0000.0007.4EDE] % ÿ
4EDF ; [.4ED8.0000.0007.4EDF] % «™
4EE1 ; [.4ED9.0000.0007.4EE1] % ÿÓ
4EE3 ; [.4EDA.0000.0007.4EE3] % ¥˙
4EE4 ; [.4EDB.0000.0007.4EE4] % ¡Ó
4EE5 ; [.4EDC.0000.0007.4EE5] % “‘
4EE8 ; [.4EDD.0000.0007.4EE8] % ÿÌ
4EE9 ; [.4EDE.0000.0007.4EE9] % Å†
5144 ; [.4EDF.0000.0007.5144] % –÷
5189 ; [.4EE0.0000.0007.5189] % »Ω
518A ; [.4EE1.0000.0007.518A] % É‘
51AC ; [.4EE2.0000.0007.51AC] % ∂¨
